Nr similar docs,Nr server docs,Similar voc size,Server voc size,Nr queries,Nr queries known,Refined Score attack Acc,Vol Score Acc,Ref Vol Score Acc,Cluster Vol Score Acc
12044,18065,1200,1000,150,5,0.8,0.15172413793103448,0.8344827586206897,0.8344827586206897
12044,18065,1200,1000,150,5,0.8137931034482758,0.07586206896551724,0.8413793103448276,0.8482758620689655
12044,18065,1200,1000,150,5,0.8137931034482758,0.034482758620689655,0.8206896551724138,0.8137931034482758
12044,18065,1200,1000,150,5,0.8344827586206897,0.041379310344827586,0.8551724137931035,0.8620689655172413
12044,18065,1200,1000,150,5,0.6896551724137931,0.04827586206896552,0.8482758620689655,0.8689655172413793
12044,18065,1200,1000,150,5,0.47586206896551725,0.020689655172413793,0.6344827586206897,0.8068965517241379
12044,18065,1200,1000,150,5,0.5586206896551724,0.04827586206896552,0.7586206896551724,0.8
12044,18065,1200,1000,150,5,0.8068965517241379,0.06206896551724138,0.8413793103448276,0.8413793103448276
12044,18065,1200,1000,150,5,0.8,0.06206896551724138,0.8482758620689655,0.8620689655172413
12044,18065,1200,1000,150,5,0.6896551724137931,0.041379310344827586,0.8,0.8137931034482758
12044,18065,1200,1000,150,5,0.09655172413793103,0.013793103448275862,0.6,0.7862068965517242
12044,18065,1200,1000,150,5,0.903448275862069,0.06896551724137931,0.9241379310344827,0.9241379310344827
12044,18065,1200,1000,150,5,0.7379310344827587,0.20689655172413793,0.8,0.8
12044,18065,1200,1000,150,5,0.5448275862068965,0.041379310344827586,0.8896551724137931,0.8896551724137931
12044,18065,1200,1000,150,5,0.5310344827586206,0.006896551724137931,0.27586206896551724,0.6551724137931034
12044,18065,1200,1000,150,5,0.04827586206896552,0.027586206896551724,0.42758620689655175,0.08275862068965517
12044,18065,1200,1000,150,5,0.8482758620689655,0.04827586206896552,0.8758620689655172,0.8689655172413793
12044,18065,1200,1000,150,5,0.7586206896551724,0.06896551724137931,0.8275862068965517,0.8068965517241379
12044,18065,1200,1000,150,5,0.45517241379310347,0.020689655172413793,0.8275862068965517,0.8413793103448276
12044,18065,1200,1000,150,5,0.6620689655172414,0.05517241379310345,0.8413793103448276,0.8206896551724138
12044,18065,1200,1000,150,10,0.9,0.06428571428571428,0.9,0.9
12044,18065,1200,1000,150,10,0.8214285714285714,0.03571428571428571,0.8142857142857143,0.8214285714285714
12044,18065,1200,1000,150,10,0.8857142857142857,0.1,0.8642857142857143,0.8785714285714286
12044,18065,1200,1000,150,10,0.8142857142857143,0.11428571428571428,0.8071428571428572,0.8
12044,18065,1200,1000,150,10,0.9142857142857143,0.22857142857142856,0.9142857142857143,0.9142857142857143
12044,18065,1200,1000,150,10,0.8357142857142857,0.20714285714285716,0.8357142857142857,0.8357142857142857
12044,18065,1200,1000,150,10,0.9,0.2,0.8642857142857143,0.8642857142857143
12044,18065,1200,1000,150,10,0.7928571428571428,0.15,0.8357142857142857,0.8357142857142857
12044,18065,1200,1000,150,10,0.8428571428571429,0.12142857142857143,0.8642857142857143,0.8714285714285714
12044,18065,1200,1000,150,10,0.8928571428571429,0.16428571428571428,0.9,0.8928571428571429
12044,18065,1200,1000,150,10,0.9214285714285714,0.2571428571428571,0.8928571428571429,0.8928571428571429
12044,18065,1200,1000,150,10,0.8785714285714286,0.11428571428571428,0.9,0.9
12044,18065,1200,1000,150,10,0.9142857142857143,0.12857142857142856,0.9,0.9
12044,18065,1200,1000,150,10,0.8428571428571429,0.12142857142857143,0.8571428571428571,0.8571428571428571
12044,18065,1200,1000,150,10,0.9,0.14285714285714285,0.8642857142857143,0.8642857142857143
12044,18065,1200,1000,150,10,0.8142857142857143,0.15,0.8571428571428571,0.85
12044,18065,1200,1000,150,10,0.9071428571428571,0.1,0.9285714285714286,0.9285714285714286
12044,18065,1200,1000,150,10,0.5642857142857143,0.11428571428571428,0.7857142857142857,0.7857142857142857
12044,18065,1200,1000,150,10,0.8214285714285714,0.17142857142857143,0.8357142857142857,0.8357142857142857
12044,18065,1200,1000,150,10,0.7285714285714285,0.03571428571428571,0.8285714285714286,0.8285714285714286
12044,18065,1200,1000,150,20,0.8615384615384616,0.12307692307692308,0.8538461538461538,0.8538461538461538
12044,18065,1200,1000,150,20,0.8615384615384616,0.07692307692307693,0.8461538461538461,0.8615384615384616
12044,18065,1200,1000,150,20,0.8923076923076924,0.17692307692307693,0.8846153846153846,0.8923076923076924
12044,18065,1200,1000,150,20,0.8461538461538461,0.19230769230769232,0.8384615384615385,0.8384615384615385
12044,18065,1200,1000,150,20,0.8384615384615385,0.16153846153846155,0.8384615384615385,0.8384615384615385
12044,18065,1200,1000,150,20,0.9153846153846154,0.14615384615384616,0.9076923076923077,0.9076923076923077
12044,18065,1200,1000,150,20,0.9,0.2846153846153846,0.9,0.9
12044,18065,1200,1000,150,20,0.9615384615384616,0.2076923076923077,0.8769230769230769,0.8615384615384616
12044,18065,1200,1000,150,20,0.9076923076923077,0.14615384615384616,0.8923076923076924,0.9
12044,18065,1200,1000,150,20,0.9,0.2153846153846154,0.8923076923076924,0.8923076923076924
12044,18065,1200,1000,150,20,0.9153846153846154,0.17692307692307693,0.8923076923076924,0.9
12044,18065,1200,1000,150,20,0.9153846153846154,0.2,0.8923076923076924,0.9076923076923077
12044,18065,1200,1000,150,20,0.8769230769230769,0.1076923076923077,0.8846153846153846,0.8923076923076924
12044,18065,1200,1000,150,20,0.8769230769230769,0.14615384615384616,0.8615384615384616,0.8769230769230769
12044,18065,1200,1000,150,20,0.9153846153846154,0.1,0.8769230769230769,0.8769230769230769
12044,18065,1200,1000,150,20,0.9230769230769231,0.23846153846153847,0.9230769230769231,0.9230769230769231
12044,18065,1200,1000,150,20,0.8615384615384616,0.2076923076923077,0.8692307692307693,0.8615384615384616
12044,18065,1200,1000,150,20,0.9076923076923077,0.25384615384615383,0.8692307692307693,0.8923076923076924
12044,18065,1200,1000,150,20,0.8384615384615385,0.2,0.8615384615384616,0.8692307692307693
12044,18065,1200,1000,150,20,0.8923076923076924,0.15384615384615385,0.8846153846153846,0.8769230769230769
