Nr similar docs,Nr server docs,Similar voc size,Server voc size,Nr queries,Nr queries known,Base Score Acc,Refined Score attack Acc
12044,18065,1200,1000,150,5,0.2,0.6482758620689655
12044,18065,1200,1000,150,5,0.06896551724137931,0.41379310344827586
12044,18065,1200,1000,150,5,0.0896551724137931,0.3310344827586207
12044,18065,1200,1000,150,5,0.0896551724137931,0.6206896551724138
12044,18065,1200,1000,150,5,0.1793103448275862,0.8413793103448276
12044,18065,1200,1000,150,5,0.11724137931034483,0.8
12044,18065,1200,1000,150,5,0.10344827586206896,0.3793103448275862
12044,18065,1200,1000,150,5,0.12413793103448276,0.11724137931034483
12044,18065,1200,1000,150,5,0.12413793103448276,0.6206896551724138
12044,18065,1200,1000,150,5,0.1103448275862069,0.8482758620689655
12044,18065,1200,1000,150,5,0.1793103448275862,0.8137931034482758
12044,18065,1200,1000,150,5,0.19310344827586207,0.7586206896551724
12044,18065,1200,1000,150,5,0.18620689655172415,0.8758620689655172
12044,18065,1200,1000,150,5,0.18620689655172415,0.7862068965517242
12044,18065,1200,1000,150,5,0.13793103448275862,0.7448275862068966
12044,18065,1200,1000,150,5,0.16551724137931034,0.8896551724137931
12044,18065,1200,1000,150,5,0.18620689655172415,0.8620689655172413
12044,18065,1200,1000,150,5,0.0896551724137931,0.696551724137931
12044,18065,1200,1000,150,5,0.11724137931034483,0.6827586206896552
12044,18065,1200,1000,150,5,0.13793103448275862,0.296551724137931
12044,18065,1200,1000,150,10,0.32142857142857145,0.8785714285714286
12044,18065,1200,1000,150,10,0.4,0.95
12044,18065,1200,1000,150,10,0.24285714285714285,0.8714285714285714
12044,18065,1200,1000,150,10,0.2714285714285714,0.8428571428571429
12044,18065,1200,1000,150,10,0.22142857142857142,0.8357142857142857
12044,18065,1200,1000,150,10,0.2571428571428571,0.8857142857142857
12044,18065,1200,1000,150,10,0.3142857142857143,0.9
12044,18065,1200,1000,150,10,0.2857142857142857,0.8714285714285714
12044,18065,1200,1000,150,10,0.37142857142857144,0.9071428571428571
12044,18065,1200,1000,150,10,0.3142857142857143,0.8571428571428571
12044,18065,1200,1000,150,10,0.3142857142857143,0.9
12044,18065,1200,1000,150,10,0.37857142857142856,0.95
12044,18065,1200,1000,150,10,0.3357142857142857,0.9214285714285714
12044,18065,1200,1000,150,10,0.2785714285714286,0.8857142857142857
12044,18065,1200,1000,150,10,0.32142857142857145,0.9
12044,18065,1200,1000,150,10,0.4357142857142857,0.9214285714285714
12044,18065,1200,1000,150,10,0.25,0.9142857142857143
12044,18065,1200,1000,150,10,0.4,0.9071428571428571
12044,18065,1200,1000,150,10,0.2,0.7571428571428571
12044,18065,1200,1000,150,10,0.32857142857142857,0.9071428571428571
12044,18065,1200,1000,150,20,0.5538461538461539,0.9
12044,18065,1200,1000,150,20,0.5769230769230769,0.8615384615384616
12044,18065,1200,1000,150,20,0.5461538461538461,0.9076923076923077
12044,18065,1200,1000,150,20,0.49230769230769234,0.9461538461538461
12044,18065,1200,1000,150,20,0.49230769230769234,0.9
12044,18065,1200,1000,150,20,0.5153846153846153,0.9384615384615385
12044,18065,1200,1000,150,20,0.5615384615384615,0.8615384615384616
12044,18065,1200,1000,150,20,0.4230769230769231,0.8461538461538461
12044,18065,1200,1000,150,20,0.5230769230769231,0.8923076923076924
12044,18065,1200,1000,150,20,0.5615384615384615,0.8769230769230769
12044,18065,1200,1000,150,20,0.6230769230769231,0.9692307692307692
12044,18065,1200,1000,150,20,0.49230769230769234,0.9615384615384616
12044,18065,1200,1000,150,20,0.4153846153846154,0.9
12044,18065,1200,1000,150,20,0.4307692307692308,0.9076923076923077
12044,18065,1200,1000,150,20,0.46923076923076923,0.9153846153846154
12044,18065,1200,1000,150,20,0.5461538461538461,0.9615384615384616
12044,18065,1200,1000,150,20,0.5307692307692308,0.9307692307692308
12044,18065,1200,1000,150,20,0.5461538461538461,0.9461538461538461
12044,18065,1200,1000,150,20,0.5384615384615384,0.9
12044,18065,1200,1000,150,20,0.5076923076923077,0.8769230769230769
12044,18065,1200,1000,150,40,0.7909090909090909,0.9181818181818182
12044,18065,1200,1000,150,40,0.7363636363636363,0.8909090909090909
12044,18065,1200,1000,150,40,0.8090909090909091,0.9363636363636364
12044,18065,1200,1000,150,40,0.6818181818181818,0.8909090909090909
12044,18065,1200,1000,150,40,0.7272727272727273,0.8727272727272727
12044,18065,1200,1000,150,40,0.8272727272727273,0.9727272727272728
12044,18065,1200,1000,150,40,0.7090909090909091,0.9363636363636364
12044,18065,1200,1000,150,40,0.7363636363636363,0.9545454545454546
12044,18065,1200,1000,150,40,0.7818181818181819,0.9181818181818182
12044,18065,1200,1000,150,40,0.8272727272727273,0.9181818181818182
12044,18065,1200,1000,150,40,0.7181818181818181,0.9272727272727272
12044,18065,1200,1000,150,40,0.7272727272727273,0.9545454545454546
12044,18065,1200,1000,150,40,0.7636363636363637,0.9272727272727272
12044,18065,1200,1000,150,40,0.7181818181818181,0.8545454545454545
12044,18065,1200,1000,150,40,0.7181818181818181,0.8454545454545455
12044,18065,1200,1000,150,40,0.6545454545454545,0.9272727272727272
12044,18065,1200,1000,150,40,0.8090909090909091,0.9545454545454546
12044,18065,1200,1000,150,40,0.7181818181818181,0.9545454545454546
12044,18065,1200,1000,150,40,0.7090909090909091,0.9454545454545454
12044,18065,1200,1000,150,40,0.7454545454545455,0.9272727272727272
